Short Name,Platform,In Production,Execution pattern,Burstiness,Trigger types,Workflow Coordination,Is Latency Relevant?,Number of Distinct Functions,Data Volume (per execution),Workflow Structure,Workflow Size,Cost/Performance Tradeoff,Function Runtime,Resource Bounds,Locality Requirements,Workflow Internal Parallelism,Programming Languages,Function Upgrade Frequency,Usage of External Services,Domain,Application Type,Motivation,Open Source
ExCamera,AWS,Unknown,On-demand,Yes,[Reviewer 7] Manual | [Reviewer 3] HTTP request,Workflow engine,For complete use case,1,[Reviewer 7] Unknown | [Reviewer 3] > 1 GB,Bag of tasks,Large (1000+),Performance-focused,Long (min+),CPU,[Reviewer 7] Unknown | [Reviewer 3] Regional,Extreme,"[Reviewer 7] Python, C++ | [Reviewer 3] C++, Python",[Reviewer 7] Unknown | [Reviewer 3] Rarely,[Reviewer 7] AWS S3 | [Reviewer 3] Storage,[Reviewer 7] Cross-Domain | [Reviewer 3] Unknown,[Reviewer 7] Side-task | [Reviewer 3] Unknown,[Reviewer 7] Scalability | [Reviewer 3] Massive parallelism,[Reviewer 7] https://github.com/excamera/mu | [Reviewer 3] No
iRobot,AWS,Yes,High-volume on-demand,Yes,[Reviewer 2] Scheduled | [Reviewer 3] HTTP request,Event,For parts of use case,3,< 1 MB,Chain,Small (2-10),Cost-focused,"Short (ms, s)",Unknown,Global,No,[Reviewer 2] Unknown | [Reviewer 3] Python,Unknown,"[Reviewer 2] Kinesis, IoT, API Gateway, SQS, CloudWatch, database, storage | [Reviewer 3] Streams, Database, API Gateway, IoT Platform, Queues",IoT,Business-critical workloads,[Reviewer 2] Scalability; Manageability (only 10 engineers for a global app) | [Reviewer 3] Ability to scale,No
Nordstrom,AWS,No,[Reviewer 6] On-demand | [Reviewer 1] High-volume on-demand,[Reviewer 6] No | [Reviewer 1] Yes,[Reviewer 6] HTTP request | [Reviewer 1] Cloud event,Event,[Reviewer 6] For complete use case | [Reviewer 1] For parts of use case,[Reviewer 6] 2 | [Reviewer 1] Unknown,[Reviewer 6] < 1 MB | [Reviewer 1] Unknown,Pipeline,Small (2-10),Unknown,"Short (ms, s)",Unknown,Unknown,[Reviewer 6] No | [Reviewer 1] Unknown,JavaScript,[Reviewer 6] Rarely | [Reviewer 1] Unknown,"[Reviewer 6] Databases, Event Logging,  | [Reviewer 1] S3, Kinesis",WebServices,[Reviewer 6] Business-critical workloads | [Reviewer 1] Monitoring,[Reviewer 6] Feasibility ofbuilidng a serverless retail system | [Reviewer 1] nan,https://github.com/Nordstrom/hello-retail
Video Analyzer,AWS,[Reviewer 2] Unknown | [Reviewer 1] No,[Reviewer 2] High-volume on-demand | [Reviewer 1] On-demand,[Reviewer 2] No | [Reviewer 1] Yes,Cloud event,Event,[Reviewer 2] Real-time | [Reviewer 1] For complete use case,[Reviewer 2] 2 | [Reviewer 1] 1,[Reviewer 2] < 1 MB | [Reviewer 1] < 100 MB,[Reviewer 2] Loops/Conditional branches | [Reviewer 1] Pipeline,Small (2-10),[Reviewer 2] Performance-focused | [Reviewer 1] Unknown,"Short (ms, s)",[Reviewer 2] CPU | [Reviewer 1] Hybrid,Unknown,No,Python,[Reviewer 2] Unknown | [Reviewer 1] Rarely,"[Reviewer 2] S3, DynamoDB, Kinesis, CloudWatch, CloudLogs, Rekognition, SNS, API Gateway, IAM Roles | [Reviewer 1] S3, Dynamo DB, Kinesis",[Reviewer 2] IoT | [Reviewer 1] WebServices,[Reviewer 2] Other: Create a Serverless Pipeline for Video Frame Analysis and Alerting | [Reviewer 1] Side-task,[Reviewer 2] Cost/Performance | [Reviewer 1] nan,https://github.com/serverless-projects/serverless-rekognition-video-analyzer
gg,"[Reviewer 4] AWS | [Reviewer 2] AWS, Google, IBM",No,On-demand,Yes,HTTP request,Workflow engine,For complete use case,[Reviewer 4] 1 | [Reviewer 2] 1+,[Reviewer 4] Not applicable | [Reviewer 2] Unknown,Bag of tasks,Not applicable,Performance-focused,"[Reviewer 4] Short (ms, s) | [Reviewer 2] Long (min+)",Unknown,None,Extreme,"[Reviewer 4] C++ | [Reviewer 2] Python, C++",Unknown,"[Reviewer 4] Cloud Storage | [Reviewer 2] Cloud Storage, Cloud Cache",[Reviewer 4] Other: Distributed Computing | [Reviewer 2] Cross-Domain,[Reviewer 4] Other: Distributed Computing | [Reviewer 2] Side-task,"[Reviewer 4] Cost/Performance | [Reviewer 2] Cost, performance",https://github.com/StanfordSNR/gg
SquareEnix,AWS,Yes,[Reviewer 6] On-demand | [Reviewer 3] High-volume on-demand,[Reviewer 6] No | [Reviewer 3] Yes,[Reviewer 6] HTTP request | [Reviewer 3] Cloud event,[Reviewer 6] Event | [Reviewer 3] Not applicable,For complete use case,[Reviewer 6] 3 | [Reviewer 3] 1,< 10 MB,[Reviewer 6] Chain | [Reviewer 3] Not applicable,[Reviewer 6] Small (2-10) | [Reviewer 3] Not applicable,Performance-focused,"Short (ms, s)",[Reviewer 6] Unknown | [Reviewer 3] CPU,Unknown,[Reviewer 6] No | [Reviewer 3] Not applicable,Unknown,Unknown,"[Reviewer 6] S3 | [Reviewer 3] Queues, Storage",Entertainment,Side-task,[Reviewer 6] Improve customer experience | [Reviewer 3] Latency and cost reduction,No
Goad,AWS,Yes,[Reviewer 7] On-demand | [Reviewer 5] High-volume on-demand,Yes,[Reviewer 7] Manual | [Reviewer 5] Scheduled,[Reviewer 7] orther: local coordinator | [Reviewer 5] Unknown,[Reviewer 7] Real-time | [Reviewer 5] For complete use case,1,Unknown,[Reviewer 7] Bag of tasks | [Reviewer 5] Not applicable,[Reviewer 7] Unknown | [Reviewer 5] Not applicable,Performance-focused,"[Reviewer 7] Long (min+) | [Reviewer 5] Short (ms, s)",[Reviewer 7] External Service | [Reviewer 5] Network,Regional,[Reviewer 7] Extreme | [Reviewer 5] Not applicable,"[Reviewer 7] JavaScript, Go | [Reviewer 5] Go",[Reviewer 7] Unknown | [Reviewer 5] Often,AWS SQS,[Reviewer 7] Other: performance evaluation | [Reviewer 5] Cross-Domain,[Reviewer 7] Scientifc Workload | [Reviewer 5] Operations,[Reviewer 7] Scalability | [Reviewer 5] nan,https://github.com/goadapp/goad
NextDoor,AWS,Yes,[Reviewer 6] On-demand | [Reviewer 3] High-volume on-demand,[Reviewer 6] No | [Reviewer 3] Yes,[Reviewer 6] HTTP request | [Reviewer 3] Cloud event,Event,[Reviewer 6] For complete use case | [Reviewer 3] Unknown,[Reviewer 6] unknown | [Reviewer 3] 2,[Reviewer 6] < 1 MB | [Reviewer 3] Unknown,[Reviewer 6] Pipeline | [Reviewer 3] Scatter,[Reviewer 6] Unknown | [Reviewer 3] Small (2-10),Unknown,"Short (ms, s)",Unknown,[Reviewer 6] Global | [Reviewer 3] Unknown,Unknown,[Reviewer 6] Unknown | [Reviewer 3] Python,Unknown,"[Reviewer 6] Databases, S3 | [Reviewer 3] Streams, Storage, Queues",[Reviewer 6] WebServices | [Reviewer 3] Entertainment,[Reviewer 6] Business-critical workloads | [Reviewer 3] Monitoring,"[Reviewer 6] Scaleability, Ugradeability | [Reviewer 3] nan",No
SumoLogic,"[Reviewer 6] AWS,Azure,Google | [Reviewer 5] AWS",Yes,"[Reviewer 6] On-demand, Scheduled | [Reviewer 5] On-demand",Yes,Cloud event,Unknown,[Reviewer 6] For parts of use case | [Reviewer 5] Not important,[Reviewer 6] unknown | [Reviewer 5] 9,[Reviewer 6] Not applicable | [Reviewer 5] < 1 MB,[Reviewer 6] Pipeline | [Reviewer 5] Unknown,[Reviewer 6] Unknown | [Reviewer 5] Small (2-10),Unknown,"[Reviewer 6] Unknown | [Reviewer 5] Short (ms, s)",Unknown,[Reviewer 6] Global | [Reviewer 5] Not applicable,[Reviewer 6] High | [Reviewer 5] Low,"[Reviewer 6] JavaScript | [Reviewer 5] JavaScript, Python",[Reviewer 6] Unknown | [Reviewer 5] Rarely,"[Reviewer 6] Databases, S3 | [Reviewer 5] nan",Cross-Domain,[Reviewer 6] Operations | [Reviewer 5] Monitoring,[Reviewer 6] Scaleability  | [Reviewer 5] nan,[Reviewer 6] https://github.com/SumoLogic | [Reviewer 5] https://github.com/airbnb/binaryalert
Santander,IBM,[Reviewer 4] No | [Reviewer 3] Unknown,On-demand,Yes,Cloud event,[Reviewer 4] Event | [Reviewer 3] Not applicable,[Reviewer 4] Not important | [Reviewer 3] For parts of use case,[Reviewer 4] 5 | [Reviewer 3] 4,[Reviewer 4] < 10 MB | [Reviewer 3] Unknown,[Reviewer 4] Chain | [Reviewer 3] Not applicable,[Reviewer 4] Small (2-10) | [Reviewer 3] Not applicable,[Reviewer 4] Cost-focused | [Reviewer 3] Unknown,Unknown,Unknown,[Reviewer 4] None | [Reviewer 3] Unknown,[Reviewer 4] No | [Reviewer 3] Not applicable,JavaScript,Unknown,"[Reviewer 4] Cloud Storage, Database | [Reviewer 3] Storage",FinTec,[Reviewer 4] Side-task | [Reviewer 3] Business-critical workloads,[Reviewer 4] Cost | [Reviewer 3] nan,https://github.com/IBM/ibm-cloud-functions-serverless-ocr-openchecks
Study123,Azure,Yes,[Reviewer 2] High-volume on-demand | [Reviewer 6] On-demand,Yes,[Reviewer 2] Cloud event | [Reviewer 6] HTTP request,Event,For parts of use case,[Reviewer 2] 4 | [Reviewer 6] Unknown,[Reviewer 2] < 10 MB | [Reviewer 6] > 1 GB,[Reviewer 2] Chain | [Reviewer 6] Unknown,[Reviewer 2] Small (2-10) | [Reviewer 6] Unknown,[Reviewer 2] Undefined | [Reviewer 6] Unknown,"Short (ms, s)",Unknown,[Reviewer 2] None | [Reviewer 6] Global,[Reviewer 2] No | [Reviewer 6] Low,[Reviewer 2] C# | [Reviewer 6] Unknown,Unknown,"[Reviewer 2] Azure Media Services, Machine Learning, Database | [Reviewer 6] Azure Medida Service, DB",[Reviewer 2] WebServices | [Reviewer 6] Other: Education,[Reviewer 2] Business-critical workloads | [Reviewer 6] Side-task,[Reviewer 2] Ease of development | [Reviewer 6] Expand learning from school to anywhere (esp. to mobile devices9,[Reviewer 2] No | [Reviewer 6] https://github.com/craftship/codebox-npm
Binaryalert,AWS,Yes,On-demand,[Reviewer 4] Unknown | [Reviewer 5] Yes,Cloud event,Event,Not important,[Reviewer 4] 2 | [Reviewer 5] ~ 10,[Reviewer 4] Unknown | [Reviewer 5] > 1 GB,[Reviewer 4] Chain | [Reviewer 5] Pipeline,"[Reviewer 4] Small (2-10) | [Reviewer 5] Medium (10-1000),",[Reviewer 4] Undefined | [Reviewer 5] Cost-focused,[Reviewer 4] Unknown | [Reviewer 5] Long (min+),Unknown,[Reviewer 4] None | [Reviewer 5] Not applicable,[Reviewer 4] No | [Reviewer 5] Unknown,Python,[Reviewer 4] Unknown | [Reviewer 5] Rarely,"[Reviewer 4] Cloud Storage, Database, Monitoring | [Reviewer 5] nan",[Reviewer 4] Other: Security | [Reviewer 5] Cross-Domain,Side-task,[Reviewer 4] NoOps | [Reviewer 5] nan,[Reviewer 4] https://github.com/airbnb/binaryalert | [Reviewer 5] https://github.com/SumoLogic/sumologic-aws-lambda/
Real-time Analytics,Not applicable,No,[Reviewer 6] Scheduled | [Reviewer 5] High-volume on-demand,Yes,[Reviewer 6] Scheduled | [Reviewer 5] Cloud event,[Reviewer 6] Unknown | [Reviewer 5] Not applicable,[Reviewer 6] For parts of use case | [Reviewer 5] Real-time,[Reviewer 6] unknown | [Reviewer 5] Unknown,[Reviewer 6] < 1 MB | [Reviewer 5] Not applicable,[Reviewer 6] Loops/Conditional branches | [Reviewer 5] Not applicable,[Reviewer 6] Small (2-10) | [Reviewer 5] Not applicable,[Reviewer 6] Unknown | [Reviewer 5] Performance-focused,"Short (ms, s)",[Reviewer 6] Network | [Reviewer 5] Not applicable,[Reviewer 6] Edge | [Reviewer 5] Regional,[Reviewer 6] Low | [Reviewer 5] High,Not applicable,[Reviewer 6] Not applicable | [Reviewer 5] Rarely,[Reviewer 6] Not Applicable | [Reviewer 5] Storage,IoT,[Reviewer 6] Not applicable | [Reviewer 5] Business-critical workloads,[Reviewer 6] Ressource useage in IoT/Edge/Cloud environments | [Reviewer 5] nan,"[Reviewer 6] No | [Reviewer 5] No
"
Serverless Analytics,AWS,No,[Reviewer 4] High-volume on-demand | [Reviewer 7] On-demand,Yes,[Reviewer 4] Cloud event + HTTP Request | [Reviewer 7] HTTP request,Not applicable,[Reviewer 4] Not important | [Reviewer 7] For parts of use case,3,< 1 MB,Not applicable,Not applicable,Undefined,"Short (ms, s)",[Reviewer 4] Unknown | [Reviewer 7] Network,[Reviewer 4] None | [Reviewer 7] Unknown,Not applicable,[Reviewer 4] JavaScript | [Reviewer 7] NodeJS,Unknown,"[Reviewer 4] Cloud Storage, Database, Streaming | [Reviewer 7] AWS Kinesis, AWS Dynamo",[Reviewer 4] Cross-Domain | [Reviewer 7] WebServices,Monitoring,[Reviewer 4] No Maintenence | [Reviewer 7] PoC,https://github.com/sbstjn/serverless-analytics
PyWren,"[Reviewer 7] AWS | [Reviewer 3] AWS, IBM",[Reviewer 7] Unknown | [Reviewer 3] Yes,On-demand,Yes,Manual,Workflow engine,[Reviewer 7] For complete use case | [Reviewer 3] For parts of use case,Unknown,[Reviewer 7] Unknown | [Reviewer 3] > 1 GB,[Reviewer 7] Bag of tasks | [Reviewer 3] Dynamic workflow,Unknown,Performance-focused,[Reviewer 7] Unknown | [Reviewer 3] Long (min+),Unknown,[Reviewer 7] None | [Reviewer 3] Unknown,Extreme,Python,[Reviewer 7] Unknown | [Reviewer 3] Often,[Reviewer 7] AWS S3 | [Reviewer 3] Storage,Scientific computing,[Reviewer 7] Business-critical workloads | [Reviewer 3] Scientifc Workload,"[Reviewer 7] Scalability | [Reviewer 3] Extreme parallelization for accessible computing (i.e., no cluster management)",https://github.com/pywren/pywren
Serverless Galleria,AWS,[Reviewer 4] No | [Reviewer 7] Yes,On-demand,Yes,[Reviewer 4] Cloud event + HTTP Request | [Reviewer 7] Cloud event,Event,[Reviewer 4] For parts of use case | [Reviewer 7] Not important,8,< 10 MB,[Reviewer 4] Chain | [Reviewer 7] Scatter,Small (2-10),Undefined,"Short (ms, s)",Unknown,[Reviewer 4] None | [Reviewer 7] Not applicable,[Reviewer 4] No | [Reviewer 7] High,[Reviewer 4] JavaScript | [Reviewer 7] NodeJS,[Reviewer 4] Unknown | [Reviewer 7] Rarely,[Reviewer 4] Cloud Storage | [Reviewer 7] S3,WebServices,[Reviewer 4] Side-task | [Reviewer 7] Business-critical workloads,[Reviewer 4] - | [Reviewer 7] PoC,https://github.com/evanchiu/serverless-galleria
Pipeline Dashboard,AWS,[Reviewer 1] Yes | [Reviewer 3] Unknown,Scheduled,No,[Reviewer 1] Cloud event | [Reviewer 3] Scheduled,[Reviewer 1] Unknown | [Reviewer 3] Not applicable,[Reviewer 1] For parts of use case | [Reviewer 3] For complete use case,2,< 1 MB,[Reviewer 1] Chain | [Reviewer 3] Not applicable,[Reviewer 1] Small (2-10) | [Reviewer 3] Not applicable,Undefined,"Short (ms, s)",Unknown,Unknown,[Reviewer 1] No | [Reviewer 3] Not applicable,JavaScript,[Reviewer 1] Unknown | [Reviewer 3] Rarely,[Reviewer 1] CloudWatch | [Reviewer 3] Logging,Cross-Domain,[Reviewer 1] Monitoring | [Reviewer 3] Operations,[Reviewer 1] NoOps | [Reviewer 3] nan,https://github.com/stelligent/pipeline-dashboard
ServerlessDataDog,"AWS, Azure",[Reviewer 1] Yes | [Reviewer 3] Unknown,[Reviewer 1] Scheduled | [Reviewer 3] High-volume on-demand,[Reviewer 1] No | [Reviewer 3] Yes,Cloud event,[Reviewer 1] Event | [Reviewer 3] Not applicable,[Reviewer 1] For parts of use case | [Reviewer 3] For complete use case,[Reviewer 1] 2 | [Reviewer 3] 1,[Reviewer 1] < 1 MB | [Reviewer 3] Unknown,[Reviewer 1] Chain | [Reviewer 3] Not applicable,[Reviewer 1] Small (2-10) | [Reviewer 3] Not applicable,[Reviewer 1] Cost-focused | [Reviewer 3] Performance-focused,"Short (ms, s)",[Reviewer 1] Unknown | [Reviewer 3] Network,Unknown,[Reviewer 1] No | [Reviewer 3] Not applicable,"[Reviewer 1] Python | [Reviewer 3] Python, JavaScript",Rarely,[Reviewer 1] Diverse Cloud Monitors | [Reviewer 3] Logging Provider,Cross-Domain,Monitoring,[Reviewer 1] NoOps | [Reviewer 3] nan,https://github.com/DataDog/datadog-serverless-functions
Mobile Gaming,AWS,Yes,High-volume on-demand,[Reviewer 6] No | [Reviewer 5] Yes,[Reviewer 6] HTTP request | [Reviewer 5] Cloud event,[Reviewer 6] Event | [Reviewer 5] Unknown,For complete use case,[Reviewer 6] unknown | [Reviewer 5] Unknown,< 1 MB,[Reviewer 6] Pipeline | [Reviewer 5] Unknown,[Reviewer 6] Small (2-10) | [Reviewer 5] Unknown,[Reviewer 6] Unknown | [Reviewer 5] Performance-focused,"Short (ms, s)",Unknown,[Reviewer 6] Unknown | [Reviewer 5] Global,[Reviewer 6] No | [Reviewer 5] High,[Reviewer 6] Java | [Reviewer 5] Java (and others),[Reviewer 6] Unknown | [Reviewer 5] Rarely,"[Reviewer 6] Data Lake | [Reviewer 5] Database, Datalake",Entertainment,Business-critical workloads,[Reviewer 6] Fast Development | [Reviewer 5] nan,No
Codebox-NPM,AWS,[Reviewer 7] Yes | [Reviewer 6] Unknown,On-demand,[Reviewer 7] Unknown | [Reviewer 6] Yes,[Reviewer 7] HTTP request | [Reviewer 6] Manual,[Reviewer 7] Not applicable | [Reviewer 6] Event,For parts of use case,[Reviewer 7] 9 | [Reviewer 6] Unknown,[Reviewer 7] < 100 MB | [Reviewer 6] > 1 GB,[Reviewer 7] Not applicable | [Reviewer 6] Chain,[Reviewer 7] Not applicable | [Reviewer 6] Small (2-10),[Reviewer 7] Cost-focused | [Reviewer 6] Unknown,"Short (ms, s)",Unknown,[Reviewer 7] Global | [Reviewer 6] Unknown,[Reviewer 7] Not applicable | [Reviewer 6] Low,JavaScript,Unknown,[Reviewer 7] AWS S3 | [Reviewer 6] S3,[Reviewer 7] WebServices | [Reviewer 6] Cross-Domain,[Reviewer 7] Business-critical workloads | [Reviewer 6] Side-task,"[Reviewer 7] NoOps, scalability | [Reviewer 6] Reduction of cost and overhead",https://github.com/craftship/codebox-npm
AWS Key Disabler,AWS,[Reviewer 2] Unknown | [Reviewer 1] No,Scheduled,[Reviewer 2] No | [Reviewer 1] Yes,[Reviewer 2] Scheduled | [Reviewer 1] Cloud event,[Reviewer 2] Not applicable | [Reviewer 1] Event,Not important,1,[Reviewer 2] Not applicable | [Reviewer 1] < 1 MB,Not applicable,[Reviewer 2] Not applicable | [Reviewer 1] Small (2-10),Cost-focused,"[Reviewer 2] Unknown | [Reviewer 1] Short (ms, s)",External Service,[Reviewer 2] None | [Reviewer 1] Unknown,[Reviewer 2] Not applicable | [Reviewer 1] No,Python,[Reviewer 2] Unknown | [Reviewer 1] Rarely,"[Reviewer 2] CloudWatch, SES, IAM | [Reviewer 1] Cloud Watch, IAM",Cross-Domain,[Reviewer 2] Operations | [Reviewer 1] Side-task,[Reviewer 2] NoOps | [Reviewer 1] nan,https://github.com/te-papa/aws-key-disabler
